91,"[' ', 'fishery', 'economist', 'pacific', 'island', 'fishery', 'forum', 'agency']"
92,"[' ', 'analytic', 'business', 'lead']"
94,"[' ', 'process', 'automation', 'specialist']"
95,"[' ', 'technical', 'lead', 'python', '  ', 'django']"
97,"[' ', 'data', 'scientist']"
98,"[' ', 'data', 'scientist']"
99,"[' ', 'senior', 'analyst', 'datum']"
101,"[' ', 'senior', 'manager', ' ', 'analytic']"
102,"[' ', 'data', 'scientist', 'customer', 'analytic', 'financial', 'service']"
103,"[' ', 'data', 'scientist']"
104,"[' ', 'report', 'analyst']"
106,"[' ', 'senior', 'data', 'scientist']"
107,"[' ', 'data', 'scientist']"
108,"[' ', 'devop', 'engineer', 'hadoop']"
109,"[' ', 'senior', 'data', 'scientist']"
110,"[' ', 'apache', 'spark', ' ', 'aws', 'engineer']"
112,"[' ', 'data', 'scientist']"
113,"[' ', 'senior', 'datum', 'scientist', 'role']"
114,"[' ', 'senior', 'datum', 'scientist', 'role']"
115,"[' ', 'senior', 'datum', 'scientist', 'role']"
116,"[' ', 'senior', 'datum', 'scientist', 'role']"
117,"[' ', 'senior', 'datum', 'scientist', 'role']"
118,"[' ', 'data', 'scientist']"
119,"[' ', 'data', 'scientist']"
120,"[' ', 'data', 'scientist', 'x']"
121,"[' ', 'datum', 'engineer', 'aws', ' ', 'spark', 'contract', 'sydney', 'cbd']"
122,"[' ', 'head', 'architecture']"
124,"[' ', 'data', 'scientist']"
125,"[' ', 'principal', 'behavioural', 'social', 'science']"
126,"[' ', 'big', 'datum', 'engineer']"
127,"[' ', 'graduate', 'program']"
128,"[' ', 'graduate', 'program']"
129,"[' ', 'data', 'engineer']"
130,"[' ', 'senior', 'front', 'end', 'developer', 'reactjs']"
131,"[' ', 'junior', 'datum', 'scientist']"
132,"[' ', 'customer', 'datum', 'analyst', 'machine', 'learning', 'project']"
133,"[' ', 'senior', 'data', 'scientist']"
135,"[' ', 'datum', 'integration', 'engineer']"
136,"[' ', 'data', 'engineer', 'spark', 'streaming']"
137,"[' ', 'credit', 'risk', 'analytic', 'data', 'scientist']"
138,"[' ', 'junior', 'sql', 'analyst']"
139,"[' ', 'machine', 'learn', 'engineer', ' ', 'month', 'contract']"
140,"[' ', 'informatica', 'bdm', 'engineer']"
141,"[' ', 'big', 'datum', 'architect']"
142,"[' ', 'data', 'scientist', 'small', 'consultancy', 'k', 'k', ' ', 'super']"
143,"[' ', 'data', 'scientist']"
144,"[' ', 'manager', 'insight', ' ', 'solution']"
145,"[' ', 'manager', 'insight', ' ', 'solution']"
146,"[' ', 'manager', 'insight', ' ', 'solution']"
147,"[' ', 'senior', 'cloud', 'engineer']"
148,"[' ', 'data', 'scientist', 'analysis', 'stream']"
149,"[' ', 'business', 'analyst', 'datum', 'focus']"
151,"[' ', 'statistic', 'graduate', 'analyst']"
152,"[' ', 'hadoop', 'engineer']"
153,"[' ', 'senior', 'functional', 'analyst', '–', 'payment']"
154,"[' ', 'machine', 'learn', 'engineer', '  ', 'scientist', 'optimisation', 'experience']"
155,"[' ', '-PRON-', 'graduate', 'multiple', 'opportunity']"
156,"[' ', 'client', 'relationship', 'manager', '  ', 'management', 'consultant', 'analytic']"
157,"[' ', 'senior', 'pricing', 'datum', 'scientist']"
158,"[' ', 'senior', 'pricing', 'datum', 'scientist']"
159,"[' ', 'senior', 'pricing', 'datum', 'scientist']"
160,"[' ', 'customer', 'insight', 'analyst', ' ', 'month', 'contract']"
161,"[' ', 'microsoft', 'datum', 'platform', 'expert', 'sydney', 'brisbane', ' ', 'melb']"
162,"[' ', 'datum', 'solution', 'architect']"
164,"[' ', 'consultant', 'senior', 'consultant', 'research', ' ', 'development', 'rd', 'tax', '–', 'sydney']"
165,"[' ', 'production', 'datum', 'scientist', '  ', 'insight', 'analyst', '–', 'capcoal', 'opencut', 'operation']"
166,"[' ', 'production', 'datum', 'scientist', '  ', 'insight', 'analyst', '–', 'capcoal', 'opencut', 'operation']"
167,"[' ', 'production', 'datum', 'scientist', '  ', 'insight', 'analyst', '–', 'capcoal', 'opencut', 'operation']"
168,"[' ', 'data', 'engineer']"
169,"[' ', 'java', 'full', 'stack', 'developer']"
170,"[' ', 'junior', 'datum', 'scientist', 'conversational', 'ai', 'western', 'sub', 'sydney']"
172,"[' ', 'senior', 'data', 'scientist']"
173,"[' ', 'statistic', 'analyst']"
174,"[' ', 'business', 'analyst']"
175,"[' ', 'data', 'scientist']"
177,"[' ', 'digital', 'marketing', 'lead']"
178,"[' ', 'editor', 'senior', 'editor']"
179,"[' ', 'data', 'scientist']"
180,"[' ', 'data', 'engineer', 'machine', 'learning']"
182,"[' ', 'big', 'datum', 'architect']"
183,"[' ', 'technical', 'support', 'specialist']"
184,"[' ', 'senior', 'software', 'engineer', 'x', 'big', 'datum']"
185,"[' ', 'data', 'scientist']"
186,"[' ', 'junior', 'datum', 'scientist', '  ', 'data', 'analyst']"
187,"[' ', 'data', 'scientist']"
188,"[' ', 'datum', 'engineering', 'consultant']"
189,"[' ', 'data', 'scientist']"
190,"[' ', 'operation', 'research', 'modelling', ' ', 'simulation', 'datum', 'analysis']"
191,"[' ', 'junior', 'datum', 'scientist']"
192,"[' ', 'junior', 'datum', 'scientist', 'consulting']"
193,"[' ', 'product', 'consultant', 'saa']"
194,"[' ', 'data', 'engineer', 'enterprise', 'analytic', 'python', 'scala', 'spark', 'cloud']"
195,"[' ', 'lead', 'data', 'scientist']"
196,"[' ', 'creative', 'experience', 'team', 'lead']"
197,"[' ', 'datum', 'architect', 'geospatial']"
198,"[' ', 'data', 'scientist']"
199,"[' ', 'datum', 'specialist', 'scientist']"
200,"[' ', 'data', 'scientist', ' ', 'permanent', ' ', 'global', 'organisation', ' ', 'sydney']"
201,"[' ', 'data', 'scientist']"
202,"[' ', 'technical', 'application', 'developer']"
203,"[' ', 'business', 'analyst']"
204,"[' ', 'manager', 'datum', 'analytic']"
205,"[' ', 'senior', 'datum', 'scientist', 'retail']"
206,"[' ', 'sql', 'database', 'administrator']"
207,"[' ', 'recruitment', 'source', 'partner']"
208,"[' ', 'data', 'scientist']"
209,"[' ', 'data', 'scientist']"
210,"[' ', 'lead', 'data', 'scientist']"
211,"[' ', 'senior', 'advisor', 'operational', 'system']"
212,"[' ', 'principal', 'manager', 'traffic', 'modelling', 'analysis']"
213,"[' ', 'principal', 'manager', 'traffic', 'modelling', 'analysis']"
214,"[' ', 'operation', 'research', 'modelling', ' ', 'simulation', 'datum', 'analysis']"
215,"[' ', 'lead', 'big', 'datum', 'architect']"
216,"[' ', 'lead', 'big', 'datum', 'architect']"
218,"[' ', 'manager', 'treasury', 'business', 'management', 'analytic']"
219,"[' ', 'manager', 'treasury', 'business', 'management', 'analytic']"
220,"[' ', 'manager', 'treasury', 'business', 'management', 'analytic']"
222,"[' ', 'experience', 'datum', 'scientist']"
223,"[' ', 'tag', 'executive', 'new', 'role']"
225,"[' ', 'spatial', 'datum', 'analyst', 'senior', 'software', 'engineer']"
226,"[' ', 'senior', 'technical', 'consultant']"
235,"[' ', 'data', 'engineer', 'machine', 'learning']"
236,"[' ', 'data', 'engineer', 'machine', 'learning']"
237,"[' ', 'data', 'scientist']"
238,"[' ', 'senior', 'business', 'analyst']"
239,"[' ', 'technology', 'specialist']"
240,"[' ', 'graduate', 'consultant', 'analytic']"
241,"[' ', 'data', 'scientist']"
242,"[' ', 'senior', 'advisor', 'operational', 'system']"
243,"[' ', 'senior', 'datum', 'engineer']"
244,"[' ', 'data', 'engineer']"
245,"[' ', 'data', 'scientist']"
246,"[' ', 'data', 'scientist', 'big', 'datum', 'ml', 'amazing', 'opportunity']"
248,"[' ', 'practice', 'manager', 'big', 'datum', 'analytic']"
249,"[' ', 'junior', 'datum', 'scientist']"
250,"[' ', 'procurement', 'specialist']"
251,"[' ', 'hadoop', 'lead', '  ', 'big', 'datum', 'architect']"
252,"[' ', 'senior', 'full', 'stack', 'software', 'engineer', 'java', 'php', 'node']"
253,"[' ', 'digital', 'project', 'manager']"
254,"[' ', 'data', 'governance', 'manager']"
255,"[' ', 'recuitment', 'manager', 'analytic']"
256,"[' ', 'recuitment', 'manager', 'analytic']"
258,"[' ', 'data', 'scientist']"
259,"[' ', 'etl', 'bi', 'developer', 'full', 'stack', 'java', 'skill', 'ai', 'product', 'sydney', 'cbd']"
260,"[' ', 'senior', 'manager', 'analytic']"
261,"[' ', 'data', 'scientist']"
262,"[' ', 'senior', 'data', 'scientist']"
263,"[' ', 'analyst', 'programmer']"
264,"[' ', 'senior', 'data', 'scientist']"
265,"[' ', 'product', 'consultant', 'saa']"
267,"[' ', 'data', 'scientist']"
268,"[' ', 'data', 'scientist']"
270,"[' ', 'senior', 'technical', 'analyst', 'microstrategy']"
271,"[' ', 'data', 'analytic', 'translator']"
272,"[' ', 'data', 'analytic', 'translator']"
273,"[' ', 'marketing', 'datum', 'scientist']"
274,"[' ', 'data', 'engineer']"
275,"[' ', 'senior', 'data', 'scientist']"
276,"[' ', 'senior', 'analyst', 'programmer', 'insight']"
278,"[' ', 'datum', 'engineer', 'apache', 'spark', ' ', 'aws', 'contract']"
279,"[' ', 'devop', 'engineer']"
280,"[' ', 'data', 'scientist', 'consultant']"
282,"[' ', 'data', 'engineer']"
283,"[' ', 'data', 'analytic', 'analyst']"
284,"[' ', 'bi', 'business', 'analyst', 'multiple', 'role', 'various', 'level', 'available']"
285,"[' ', 'data', 'scientist']"
286,"[' ', 'business', 'analyst', ' ', 'digital']"
287,"[' ', 'senior', 'datum', 'engineer', 'gcp', 'spark', 'kafka']"
289,"[' ', 'datum', 'engineer', 'iptv']"
290,"[' ', 'product', 'consultant']"
291,"[' ', 'senior', 'data', 'scientist']"
292,"[' ', 'head', 'solution', 'architecture']"
293,"[' ', 'delivery', 'manager', '–', 'liquor', 'transformation']"
294,"[' ', 'senior', 'data', 'scientist']"
295,"[' ', 'datum', 'engineer', 'aws', ' ', 'spark', 'contract', 'sydney', 'cbd']"
296,"[' ', 'health', 'analytic', 'manager']"
297,"[' ', 'data', 'scientist']"
298,"[' ', 'data', 'analytic', ' ', 'report', 'analyst']"
299,"[' ', 'head', 'insight']"
300,"[' ', 'datum', 'architect', 'mongodb']"
301,"[' ', 'software', 'engineer']"
302,"[' ', 'finance', 'transformation', 'consultant']"
303,"[' ', 'junior', 'datum', 'scientist']"
304,"[' ', 'datum', 'hub', 'technical', 'support', 'engineer']"
307,"[' ', 'lead', 'engineer', ' ', 'big', 'datum', 'ecosystem', 'chengdu']"
308,"[' ', 'technical', 'architect', '–', 'big', 'datum', 'ecosystem', 'chengdu']"
309,"[' ', 'qlik', 'sense', 'developer']"
310,"[' ', 'hbase', ' ', 'spark', 'big', 'datum', 'engineer']"
311,"[' ', 'data', 'scientist', 'pricing']"
312,"[' ', 'etl', 'bi', 'developer', 'full', 'stack', 'java', 'skill', 'ai', 'product', 'sydney', 'cbd']"
313,"[' ', 'manager', 'credit', 'risk', 'quantitative', 'analytic']"
314,"[' ', 'business', 'intelligence', 'developer']"
317,"[' ', 'snr', 'data', 'analyst', 'sql', 'power', 'bi', 'python']"
318,"[' ', 'senior', 'software', 'engineer']"
319,"[' ', 'data', 'generalist', 'consultant']"
320,"[' ', 'ux', 'designer']"
321,"[' ', 'recruitment', 'consultant', 'trainee', 'scientific', 'field']"
323,"[' ', 'etl', 'bi', 'developer', 'full', 'stack', 'java', 'skill', 'ai', 'product', 'sydney', 'cbd']"
324,"[' ', 'etl', 'bi', 'developer', 'full', 'stack', 'java', 'skill', 'ai', 'product', 'sydney', 'cbd']"
326,"[' ', 'statistician', ' ', 'rol', 'junior', 'senior']"
327,"[' ', 'product', 'manager']"
328,"[' ', 'senior', 'software', 'engineer']"
329,"[' ', 'data', 'curator']"
330,"[' ', 'report', ' ', 'data', 'analytic', 'specialist']"
331,"[' ', 'big', 'datum', 'engineer', 'spark', 'developer']"
332,"[' ', 'big', 'datum', 'engineer', 'spark', 'developer']"
333,"[' ', 'data', 'scientist', 'datum', 'engineer']"
334,"[' ', 'survey', 'statistician', 'methodologist']"
335,"[' ', 'graduate', 'junior', 'datum', 'analyst', 'norw', 'sydney', 'excellent', 'role']"
336,"[' ', 'graduate', 'junior', 'datum', 'analyst', 'norw', 'sydney', 'excellent', 'role']"
337,"[' ', 'campaign', 'datum', 'analyst', 'customer', 'analytic']"
338,"[' ', 'technical', 'consultant']"
339,"[' ', 'senior', 'data', 'scientist']"
340,"[' ', 'technical', 'business', 'analyst', 'consulting']"
341,"[' ', 'technical', 'business', 'consultant', 'saa']"
342,"[' ', 'statistical', 'data', 'analyst', 'human', 'service']"
343,"[' ', 'product', 'consultant']"
344,"[' ', 'data', 'scientist']"
345,"[' ', 'big', 'datum', 'engineer']"
347,"[' ', 'head', 'datum', 'engineering', ' ', 'operation']"
348,"[' ', 'datum', 'advisory', 'consultant']"
349,"[' ', 'data', 'scientist']"
350,"[' ', 'data', 'scientist', 'human', 'service']"
351,"[' ', 'statistical', 'data', 'analyst', 'human', 'service']"
352,"[' ', 'statistical', 'data', 'analyst', 'human', 'service']"
353,"[' ', 'statistical', 'data', 'analyst', 'human', 'service']"
354,"[' ', 'big', 'datum', 'engineer']"
